DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-4457,Closed,Upgrade,Network Management,Element Management & Reporting,38,14,14,04-Aug-25,08-Jul-25,05-Aug-25,26-Dec-25,15-Sep-25,13-Aug-25,144,69,946.5,505.5,405.5,405.5,20%,100%,53%,80%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-3547,Closed,Upgrade,Core Network,MSS,13,13,13,06-Jul-25,08-Jul-25,08-Jul-25,14-Aug-25,08-Aug-25,18-Aug-25,39,31,220,220,210,210,5%,100%,131%,95%,Red,[Closed] schedule overrun > 10%; efforts saved; 
DSFFLOW-1135,Closed,Upgrade,BOS,D&A Mediation,34,34,34,19-May-25,19-May-25,19-May-25,20-Jun-25,20-Jun-25,20-Jun-25,32,32,569.1,569.1,548,548,4%,100%,100%,96%,Green,[Closed] efforts saved; 
DSFFLOW-1879,Closed,Maiden Installation,Network Management,Element Management & Reporting,25,14,14,26-May-25,26-May-25,26-May-25,30-Jun-25,30-Jun-25,30-Jun-25,35,35,304.5,298,268.5,268.5,10%,100%,100%,90%,Green,[Closed] efforts saved; 
DSFFLOW-2625,Closed,Upgrade,Core Network,IMS,30,28,28,29-Jun-25,29-Jun-25,30-Jun-25,31-Jul-25,25-Jul-25,01-Aug-25,32,26,267,267,267.01,267.01,0%,100%,126%,100%,Red,[Closed] schedule overrun > 10%; 
DSFFLOW-340,Closed,Upgrade,Core Network,UDM,17,17,7,04-Mar-25,04-Mar-25,04-Mar-25,30-Jun-25,30-Jun-25,11-Aug-25,118,118,264,264,264,240,9%,41%,135%,100%,Red,[Closed] incomplete work; effort budget spent; schedule overrun > 10%; 
DSFFLOW-3649,Closed,Upgrade,Core Network,IMS,31,31,12,03-Jul-25,03-Jul-25,24-Jul-25,30-Dec-25,30-Dec-25,30-Jul-25,180,180,2715,2715,570,2615,4%,39%,15%,21%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-97,Closed,Upgrade,Network Management,Element Management & Reporting,50,47,47,12-Mar-25,12-Mar-25,13-Mar-25,31-May-25,31-Jul-25,15-Jul-25,80,141,844,801.5,575,575,29%,100%,89%,72%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-1026,Closed,Upgrade,Network Management,Resource Orchestration,22,19,19,20-Apr-25,20-Apr-25,13-Jun-25,29-Jun-25,29-Jun-25,09-Jul-25,70,70,277.75,260.77,260.77,260.77,0%,100%,114%,100%,Red,[Closed] schedule overrun > 10%; late start; 
DSFFLOW-3700,Closed,Upgrade,Core Network,Signaling,20,19,18,04-Jun-25,04-Jun-25,24-Jul-25,31-Jul-26,31-Jul-26,25-Jul-25,422,422,138,138,138,137,1%,95%,12%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; late start; 
DSFFLOW-386,Closed,Maiden Installation,Core Network,EPC,30,30,30,10-Nov-24,10-Nov-24,01-Jan-25,26-Jan-25,26-Jan-25,30-Jun-25,77,77,1773,1773,993,993,44%,100%,299%,57%,Red,[Closed] schedule overrun > 10%; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-4427,Closed,Upgrade,Network Management,Element Management & Reporting,24,18,18,28-Jul-25,28-Jul-25,06-Aug-25,08-Aug-25,08-Aug-25,11-Aug-25,11,11,148,148,140,140,5%,100%,125%,95%,Red,[Closed] schedule overrun > 10%; efforts saved; late start; 
DSFFLOW-1383,Closed,Upgrade,Core Network,EPC,63,63,0,31-Dec-24,31-Dec-24,01-Jan-25,30-Jun-25,30-Jun-25,27-May-25,181,181,952,952,952,942,1%,0%,81%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-1445,Closed,Upgrade,Core Network,IMS,78,59,59,27-May-25,27-May-25,28-May-25,18-Jul-25,04-Jul-25,04-Jul-25,52,38,801,639.5,600.2697222,600.2697222,6%,100%,100%,94%,Green,[Closed] efforts saved; 
DSFFLOW-1200,Closed,Upgrade,Network Management,Element Management & Reporting,192,35,35,08-May-25,10-Feb-25,22-Apr-25,31-Aug-26,31-Oct-25,19-Jun-25,480,263,3156,1055.5,605.5,605.5,43%,100%,49%,57%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-3458,Closed,Upgrade,Core Network,Cloud,18,18,14,22-Jul-25,22-Jul-25,29-Jul-25,29-Aug-25,29-Aug-25,11-Aug-25,38,38,242,242,242,242,0%,78%,54%,100%,Red,[Closed] incomplete work; effort budget spent; ahead of schedule; feedback: opportunity for optimized time plan; 
