DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG, Reason
DSFFLOW-921,Closed,Upgrade,Core Network,UDM,23,23,23,14-May-25,14-May-25,14-May-25,04-Jul-25,04-Jul-25,04-Jul-25,51,51,202.5,202.5,202.4,202.4,0%,100%,100%,100%,Green,[Closed] 
DSFFLOW-310,Closed,Upgrade,Core Network,UDM,19,19,19,20-Apr-25,22-Apr-25,22-Apr-25,31-May-25,05-Jun-25,05-Jun-25,41,44,267.0,267.0,267.0,267.0,0%,100%,100%,100%,Green,[Closed] 
DSFFLOW-2625,Closed,Upgrade,Core Network,IMS,30,28,28,29-Jun-25,30-Jun-25,30-Jun-25,31-Jul-25,01-Aug-25,01-Aug-25,32,32,267.0,267.0,267.01,267.01,0%,100%,100%,100%,Green,[Closed] 
DSFFLOW-4427,Closed,Upgrade,Network Management,Element Management & Reporting,24,18,18,28-Jul-25,28-Jul-25,06-Aug-25,08-Aug-25,08-Aug-25,11-Aug-25,11,11,148.0,148.0,140.0,140.0,5%,100%,125%,95%,Red,[Closed] schedule overrun > 10%; efforts saved; late start; 
DSFFLOW-3700,Closed,Upgrade,Core Network,Signaling,20,19,19,04-Jun-25,04-Jun-25,24-Jul-25,31-Jul-26,31-Jul-26,25-Jul-25,422,422,138.0,138.0,138.0,138.0,0%,100%,12%,100%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; late start; 
DSFFLOW-550,Closed,Upgrade,Network Management,Element Management & Reporting,42,43,43,30-Apr-25,07-Apr-25,02-Jul-25,27-Feb-26,23-Jul-25,18-Jul-25,303,107,624.0,624.0,618.0,618.0,1%,100%,95%,99%,Green,[Closed] ahead of schedule; efforts saved; late start; 
DSFFLOW-1879,Closed,Maiden Installation,Network Management,Element Management & Reporting,25,14,14,26-May-25,26-May-25,26-May-25,30-Jun-25,30-Jun-25,30-Jun-25,35,35,304.5,298.0,268.5,268.5,10%,100%,100%,90%,Green,[Closed] efforts saved; 
DSFFLOW-2321,Closed,Upgrade,Core Network,Exposure,51,31,31,02-Jun-25,19-Jun-25,19-Jun-25,29-Aug-25,05-Sep-25,05-Sep-25,88,78,881.75,693.0,607.7666667,607.7666667,12%,100%,100%,88%,Green,[Closed] efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-1200,Closed,Upgrade,Network Management,Element Management & Reporting,192,35,35,08-May-25,10-Feb-25,22-Apr-25,31-Aug-26,31-Oct-25,19-Jun-25,480,263,3156.0,1055.5,605.5,605.5,43%,100%,49%,57%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-4778,Closed,Upgrade,Core Network,"EPC, IMS, Signaling",70,70,66,22-Jun-25,23-Jun-25,23-Jun-25,30-Aug-25,29-Aug-25,29-Aug-25,69,67,1231.0,1231.0,1173.0,1070.0,13%,94%,100%,95%,Red,[Closed] incomplete work; efforts saved; 
DSFFLOW-64,Closed,Upgrade,Network Management,Element Management,58,56,56,02-Mar-25,02-Mar-25,13-Mar-25,30-Aug-25,12-Sep-25,19-Sep-25,181,194,1350.91,1350.91,1231.659722,1231.659722,9%,100%,104%,91%,Amber,[Closed] schedule overrun < 10%; efforts saved; late start; 
DSFFLOW-4411,Closed,Upgrade,Network Management,Element Management,34,31,31,06-Aug-25,06-Aug-25,11-Aug-25,30-Sep-25,30-Sep-25,10-Sep-25,55,55,515.95,456.45,284.45,284.45,38%,100%,64%,62%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-1445,Closed,Upgrade,Core Network,IMS,78,59,59,27-May-25,27-May-25,28-May-25,18-Jul-25,04-Jul-25,04-Jul-25,52,38,801.0,639.5,600.2697222,600.2697222,6%,100%,100%,94%,Green,[Closed] efforts saved; 
DSFFLOW-97,Closed,Upgrade,Network Management,Element Management & Reporting,50,47,47,12-Mar-25,12-Mar-25,13-Mar-25,31-May-25,31-Jul-25,15-Jul-25,80,141,844.0,801.5,575.0,575.0,29%,100%,89%,72%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-1790,Closed,Upgrade,Core Network,Cloud,85,85,85,02-Jun-25,02-Jun-25,10-Jul-25,31-Mar-26,31-Mar-26,26-Aug-25,302,302,726.0,726.0,726.0,726.0,0%,100%,29%,100%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; late start; 
DSFFLOW-1614,Closed,Upgrade,Network Management,Resource Orchestration,54,52,52,28-May-25,28-May-25,04-Jun-25,30-Jan-26,30-Jan-26,15-Sep-25,247,247,299.7533333,299.7533333,300.12,300.12,0%,100%,45%,100%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-340,Closed,Upgrade,Core Network,UDM,17,17,17,04-Mar-25,04-Mar-25,04-Mar-25,30-Jun-25,11-Aug-25,11-Aug-25,118,160,264.0,264.0,264.0,264.0,0%,100%,100%,100%,Green,[Closed] 
DSFFLOW-5461,Closed,Upgrade,Core Network,Cloud,18,18,18,08-Jun-25,08-Jun-25,08-Jun-25,14-Aug-26,14-Aug-26,14-Aug-25,432,432,305.0,305.0,305.0,305.0,0%,100%,16%,100%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-168,Closed,Upgrade,BOS,Monetization Charging,59,59,59,21-Mar-25,18-Mar-25,18-Mar-25,03-Sep-25,03-Sep-25,13-Jun-25,166,169,790.8,790.8,652.5,652.5,17%,100%,52%,83%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; 
DSFFLOW-1383,Closed,Upgrade,Core Network,EPC,63,63,63,31-Dec-24,31-Dec-24,01-Jan-25,30-Jun-25,30-Jun-25,27-May-25,181,181,952.0,952.0,952.0,952.0,0%,100%,81%,100%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; 
DSFFLOW-4230,Closed,Upgrade,Core Network,Cloud,17,17,17,03-Aug-25,04-Aug-25,04-Aug-25,21-Aug-25,21-Aug-25,21-Aug-25,18,17,272.0,272.0,243.0,243.0,11%,100%,100%,89%,Green,[Closed] efforts saved; feedback: opportunity for optimized effort baseline; 
