DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-4442,In Progress,Upgrade,Network Management,Element Management,25,25,9,27-Jul-25,27-Jul-25,06-Aug-25,18-Sep-25,18-Sep-25,,53,53,418.2,418.2,192.0,415.7,1%,36%,94%,46%,Green,[In Prog] work progress misaligned with time progress; late start; 
DSFFLOW-4457,Closed,Upgrade,Network Management,Element Management & Reporting,38,14,14,04-Aug-25,08-Jul-25,05-Aug-25,26-Dec-25,15-Sep-25,13-Aug-25,144,69,946.5,505.5,405.5,405.5,20%,100%,53%,80%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; feedback: opportunity for optimized effort baseline; late start; 
DSFFLOW-4396,In Progress,Upgrade,Core Network,MSS,43,42,18,04-Aug-25,04-Aug-25,05-Aug-25,06-Oct-25,06-Oct-25,,63,63,734.0,734.0,357.5,717.0,2%,43%,67%,49%,Green,[In Prog] 
DSFFLOW-5621,In Progress,Upgrade,Core Network,MSS,36,36,0,29-Aug-25,29-Aug-25,29-Aug-25,30-Dec-26,30-Dec-26,,488,488,319.0,319.0,,319.0,0%,0%,4%,0%,Green,[In Prog] 
DSFFLOW-4955,In Progress,Maiden Installation,Network Management,Element Management & Reporting,77,77,1,18-Aug-25,18-Aug-25,25-Aug-25,28-Nov-25,28-Nov-25,,102,102,2003.5,2003.5,8.0,2003.5,0%,1%,29%,0%,Green,[In Prog] 
DSFFLOW-1729,In Progress,Upgrade,Network Management,Element Management,67,64,26,07-May-25,07-May-25,09-Jun-25,31-Oct-25,31-Oct-25,,177,177,1240.0,1200.0,609.5,1187.0,1%,41%,74%,51%,Green,[In Prog] late start; 
DSFFLOW-3700,Closed,Upgrade,Core Network,Signaling,20,19,19,04-Jun-25,04-Jun-25,24-Jul-25,31-Jul-26,31-Jul-26,25-Jul-25,422,422,138.0,138.0,138.0,138.0,0%,100%,12%,100%,Green,[Closed] ahead of schedule; feedback: opportunity for optimized time plan; late start; 
DSFFLOW-6543,In Progress,Expansion,Core Network,UDM,46,46,0,12-Aug-25,12-Aug-25,12-Sep-25,19-Dec-25,19-Dec-25,,129,129,559.0,559.0,,559.0,0%,0%,27%,0%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4055,On Hold,Upgrade,Network Management,Element Management & Reporting,26,19,12,04-Aug-25,04-Aug-25,04-Aug-25,30-Sep-25,30-Sep-25,,57,57,328.0,328.0,134.02,286.02,13%,63%,74%,41%,Amber,[On Hold] efforts burnt misaligned with work progress; 
DSFFLOW-2482,Closed,Expansion,Core Network,EPC,24,24,16,09-Jun-25,09-Jun-25,24-Jun-25,12-Dec-25,12-Dec-25,12-Sep-25,186,186,816.0,816.0,781.0,693.0,15%,67%,51%,96%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; late start; 
DSFFLOW-1445,Closed,Upgrade,Core Network,IMS,78,59,59,27-May-25,27-May-25,28-May-25,18-Jul-25,04-Jul-25,04-Jul-25,52,38,801.0,639.5,600.2697222,600.2697222,6%,100%,100%,94%,Green,[Closed] efforts saved; 
DSFFLOW-5045,In Progress,Maiden Installation,Core Network,"Cloud, Core Network Automation, IMS",40,40,0,07-Aug-25,07-Aug-25,19-Aug-25,19-Dec-25,19-Dec-25,,134,134,1139.0,1139.0,10.65,1139.0,0%,0%,30%,1%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-2169,In Progress,Maiden Installation,Core Network,"EPC, Signaling, UDM",327,327,1,15-Jun-25,15-Jun-25,24-Jun-25,20-Aug-27,20-Aug-27,,796,796,29308.1,29308.1,897.7,29302.09,0%,0%,12%,3%,Green,[In Prog] late start; 
DSFFLOW-2219,Closed,Expansion,Core Network,Cloud,37,35,28,09-Jun-25,09-Jun-25,18-Jun-25,12-Dec-25,12-Dec-25,12-Sep-25,186,186,517.35,502.35,494.85,494.85,1%,80%,51%,99%,Red,[Closed] incomplete work; ahead of schedule; feedback: opportunity for optimized time plan; efforts saved; late start; 
