iter	Passed	Remaining
0	125	125436
1	128	64065
2	130	43475
3	133	33204
4	135	27018
5	137	22818
6	139	19811
7	141	17535
8	143	15775
9	144	14352
10	146	13170
11	148	12191
12	149	11357
13	151	10668
14	152	10046
15	154	9510
16	156	9028
17	157	8608
18	159	8221
19	160	7874
20	162	7561
21	163	7273
22	165	7013
23	166	6777
24	168	6557
25	169	6358
26	171	6179
27	173	6013
28	174	5850
29	176	5703
30	178	5568
31	179	5440
32	181	5316
33	183	5203
34	185	5103
35	187	5007
36	188	4910
37	190	4823
38	192	4737
39	194	4660
40	195	4582
41	197	4506
42	199	4429
43	200	4361
44	202	4298
45	204	4239
46	206	4179
47	207	4114
48	209	4056
49	210	4002
50	212	3950
51	214	3901
52	216	3873
53	218	3830
54	220	3792
55	222	3747
56	224	3706
57	225	3665
58	227	3625
59	228	3586
60	230	3547
61	232	3510
62	233	3480
63	235	3448
64	237	3414
65	238	3380
66	240	3347
67	241	3314
68	243	3284
69	245	3255
70	246	3227
71	248	3203
72	250	3183
73	252	3160
74	254	3135
75	256	3112
76	257	3090
77	259	3067
78	261	3047
79	263	3024
80	264	3005
81	266	2988
82	268	2967
83	270	2946
84	271	2927
85	273	2908
86	276	2897
87	278	2886
88	281	2883
89	284	2872
90	286	2857
91	287	2840
92	289	2822
93	291	2805
94	292	2789
95	294	2774
96	296	2762
97	298	2745
98	299	2728
99	301	2712
100	302	2696
101	304	2682
102	306	2665
103	307	2650
104	309	2635
105	310	2622
106	312	2609
107	314	2595
108	315	2581
109	317	2567
110	318	2553
111	320	2542
112	322	2530
113	323	2518
114	325	2505
115	327	2498
116	329	2487
117	331	2476
118	333	2465
119	334	2455
120	336	2445
121	338	2435
122	340	2425
123	342	2418
124	344	2409
125	345	2398
126	347	2387
127	348	2376
128	350	2367
129	352	2357
130	353	2347
131	355	2336
132	357	2328
133	358	2319
134	360	2311
135	362	2303
136	364	2294
137	366	2288
138	368	2282
139	370	2274
140	372	2266
141	374	2259
142	375	2251
143	377	2242
144	378	2233
145	380	2225
146	382	2217
147	383	2208
148	385	2199
149	386	2191
150	388	2186
151	390	2179
152	392	2171
153	393	2163
154	395	2155
155	397	2148
156	398	2140
157	400	2133
158	401	2125
159	403	2120
160	405	2113
161	407	2105
162	408	2097
163	410	2090
164	411	2083
165	413	2076
166	414	2069
167	416	2062
168	418	2056
169	419	2050
170	421	2044
171	423	2037
172	424	2030
173	426	2023
174	427	2016
175	429	2009
176	430	2003
177	432	1997
178	434	1994
179	436	1988
180	437	1981
181	439	1975
182	440	1968
183	442	1962
184	444	1956
185	445	1950
186	447	1944
187	448	1938
188	450	1934
189	451	1924
190	452	1918
191	454	1912
192	456	1908
193	458	1904
194	460	1901
195	462	1898
196	465	1898
197	467	1894
198	469	1891
199	471	1886
200	472	1879
201	474	1874
202	475	1866
203	477	1861
204	478	1856
205	480	1853
206	482	1849
207	484	1845
208	486	1839
209	487	1834
210	489	1830
211	491	1826
212	492	1821
213	494	1816
214	497	1815
215	499	1812
216	500	1807
217	502	1802
218	504	1797
219	505	1792
220	507	1787
221	508	1782
222	510	1778
223	512	1776
224	514	1772
225	516	1767
226	517	1762
227	519	1758
228	520	1753
229	522	1749
230	524	1745
231	525	1738
232	527	1736
233	529	1733
234	531	1730
235	533	1726
236	534	1722
237	536	1718
238	538	1714
239	540	1710
240	542	1709
241	544	1706
242	546	1702
243	547	1697
244	549	1693
245	551	1689
246	552	1684
247	554	1680
248	555	1676
249	558	1674
250	559	1670
251	561	1666
252	563	1662
253	564	1659
254	567	1657
255	568	1653
256	570	1649
257	571	1644
258	573	1641
259	575	1638
260	577	1634
261	578	1630
262	580	1626
263	582	1622
264	583	1618
265	585	1614
266	586	1610
267	589	1609
268	590	1605
269	592	1602
270	594	1599
271	596	1595
272	597	1590
273	599	1587
274	600	1583
275	603	1582
276	605	1580
277	607	1577
278	609	1573
279	610	1570
280	612	1568
281	614	1564
282	616	1560
283	618	1558
284	620	1555
285	621	1552
286	623	1548
287	625	1545
288	626	1542
289	628	1538
290	630	1535
291	631	1532
292	634	1530
293	635	1527
294	637	1523
295	639	1520
296	641	1517
297	643	1514
298	644	1511
299	646	1507
300	647	1504
301	649	1501
302	651	1498
303	652	1494
304	654	1492
305	656	1489
306	658	1486
307	659	1482
308	661	1479
309	663	1477
310	665	1474
311	667	1471
312	668	1467
313	670	1464
314	671	1460
315	673	1457
316	675	1454
317	676	1451
318	678	1448
319	680	1446
320	682	1443
321	684	1440
322	685	1437
323	687	1434
324	689	1431
325	690	1428
326	692	1425
327	694	1423
328	696	1420
329	698	1417
330	700	1414
331	701	1411
332	703	1408
333	705	1406
334	707	1403
335	708	1400
336	710	1398
337	712	1395
338	714	1392
339	715	1389
340	717	1386
341	719	1383
342	720	1380
343	722	1377
344	723	1374
345	726	1372
346	727	1369
347	729	1366
348	731	1363
349	732	1360
350	733	1356
351	734	1353
352	735	1348
353	737	1345
354	739	1343
355	741	1340
356	742	1337
357	744	1334
358	745	1331
359	747	1328
360	749	1326
361	750	1323
362	752	1321
363	754	1318
364	756	1315
365	757	1312
366	759	1310
367	761	1307
368	762	1304
369	764	1301
370	766	1299
371	767	1296
372	769	1293
373	771	1290
374	772	1287
375	774	1285
376	775	1282
377	777	1279
378	778	1276
379	780	1273
380	782	1270
381	783	1267
382	785	1265
383	787	1262
384	788	1260
385	790	1257
386	791	1254
387	793	1251
388	794	1248
389	796	1245
390	797	1242
391	799	1239
392	801	1237
393	802	1234
394	804	1232
395	806	1229
396	807	1227
397	809	1224
398	811	1221
399	812	1219
400	814	1216
401	816	1214
402	818	1211
403	820	1210
404	822	1208
405	824	1205
406	825	1202
407	827	1200
408	828	1197
409	830	1194
410	832	1192
411	833	1189
412	835	1187
413	836	1184
414	838	1181
415	839	1179
416	841	1176
417	843	1173
418	844	1171
419	846	1168
420	848	1166
421	849	1164
422	851	1161
423	852	1158
424	854	1156
425	855	1153
426	857	1151
427	859	1148
428	860	1145
429	862	1143
430	864	1141
431	866	1138
432	867	1136
433	869	1133
434	871	1131
435	872	1128
436	874	1126
437	875	1123
438	876	1120
439	878	1118
440	880	1116
441	882	1113
442	883	1110
443	885	1108
444	887	1106
445	888	1103
446	890	1101
447	891	1099
448	893	1096
449	895	1094
450	897	1092
451	898	1089
452	900	1087
453	902	1084
454	903	1082
455	905	1080
456	906	1077
457	908	1075
458	910	1073
459	912	1071
460	914	1068
461	915	1066
462	917	1064
463	919	1061
464	920	1059
465	922	1056
466	923	1054
467	925	1052
468	927	1049
469	928	1047
470	930	1044
471	931	1042
472	933	1040
473	935	1037
474	936	1035
475	938	1033
476	940	1031
477	942	1029
478	944	1026
479	945	1024
480	947	1022
481	949	1019
482	950	1017
483	952	1015
484	954	1013
485	956	1011
486	957	1009
487	959	1006
488	961	1004
489	963	1002
490	964	1000
491	966	997
492	968	995
493	970	993
494	971	991
495	973	989
496	975	986
497	977	984
498	978	982
499	980	980
500	982	978
501	983	976
502	985	974
503	987	971
504	989	969
505	990	967
506	992	965
507	994	962
508	995	960
509	997	958
510	999	956
511	1000	953
512	1002	951
513	1004	949
514	1006	947
515	1008	945
516	1009	943
517	1011	941
518	1013	939
519	1015	937
520	1017	935
521	1018	933
522	1020	930
523	1022	928
524	1023	926
525	1025	924
526	1027	921
527	1028	919
528	1030	917
529	1031	915
530	1033	912
531	1034	910
532	1036	908
533	1038	905
534	1039	903
535	1041	901
536	1042	899
537	1043	896
538	1045	893
539	1046	891
540	1048	889
541	1049	886
542	1051	884
543	1052	882
544	1054	880
545	1056	878
546	1057	876
547	1059	873
548	1061	871
549	1062	869
550	1064	867
551	1066	865
552	1067	863
553	1069	860
554	1071	858
555	1073	856
556	1074	854
557	1076	852
558	1077	850
559	1079	848
560	1081	846
561	1083	844
562	1084	842
563	1086	839
564	1088	837
565	1089	835
566	1091	833
567	1092	831
568	1094	829
569	1096	827
570	1098	825
571	1100	823
572	1101	821
573	1103	819
574	1105	816
575	1106	814
576	1108	812
577	1110	811
578	1112	809
579	1114	806
580	1115	804
581	1117	802
582	1119	800
